FIRST,LAST,ID,MARK
Sheri,Farmer,333356,45
Marcella,Collins,333358,45
Harriet,Holt,333369,45
Judy,Bryan,333347,47
Christina,Anderson,333352,47
Larry,Buchanan,333426,47
Eunice,Holmes,333404,49
Elaine,White,333387,50
Guy,Dunn,333414,50
Eduardo,Parker,333422,51
Courtney,Davis,333425,51
Annette,Butler,333364,52
Loretta,Reese,333370,52
Alexandra,Alvarez,333378,52
Charlene,Ferguson,333405,52
Jill,Patterson,333415,52
Chris,Harrington,333353,53
Alma,Garner,333361,53
Angela,Cole,333373,53
Louise,Phillips,333431,53
Dianna,Walker,333365,54
Nicole,Alexander,333351,54
Dewey,Mitchell,333398,56
Kristi,Clayton,333336,56
Gregg,Wood,333432,56
Maria,Watson,333374,57
Naomi,Jordan,333343,57
Ross,Fitzgerald,333354,58
Sophia,Ballard,333346,58
Terrence,Crawford,333409,58
Sandra,Cummings,333416,59
Daniel,Cortez,333337,59
Israel,Ross,333335,60
Ebony,Palmer,333350,61
Delores,Hampton,333407,61
Timothy,Massey,333372,64
Julius,Mccormick,333359,66
Darren,Gill,333366,67
Lloyd,Byrd,333391,67
Willie,Jenkins,333367,67
Geneva,Ball,333412,67
Gabriel,Webb,333376,69
Nicholas,Owen,333406,69
Phillip,Aguilar,333417,70
Wallace,West,333360,72
Dexter,Barton,333339,73
Justin,Hanson,333348,73
Erika,Wise,333429,73
Peggy,Brady,333392,74
Hannah,Park,333338,74
Carlos,Thompson,333430,74
Michele,Moreno,333394,76
Armando,Schultz,333355,76
Johnnie,Medina,333411,77
George,Gardner,333381,78
Norma,Craig,333428,78
Robert,Santos,333363,79
Darrel,Casey,333345,81
Angie,Goodman,333383,81
Joann,Hubbard,333423,82
Kevin,Bass,333344,82
Carla,Curtis,333399,83
Camille,Harmon,333418,83
Pamela,Gordon,333397,84
Inez,Collier,333384,84
Ana,Turner,333401,84
Roxanne,Rodgers,333334,84
Leah,Black,333421,84
Tammy,Wade,333382,84
Courtney,Pierce,333410,85
Raymond,Hardy,333380,85
Tami,Scott,333379,86
Merle,Gonzales,333385,86
Kathy,Ryan,333408,88
Kirk,Graham,333396,88
Gina,Oliver,333400,88
Alvin,Clarke,333341,89
Gerard,Henderson,333389,91
Walter,Fleming,333375,91
Johnny,Ortega,333333,91
Omar,May,333424,92
Rosa,Singleton,333419,93
Megan,Hall,333342,94
Garry,Silva,333393,94
Alberta,Lowe,333368,95
Javier,Chandler,333386,95
Margaret,Shaw,333390,96
Rick,Payne,333413,96
Shaun,Warner,333349,96
Philip,Burton,333377,96
Antoinette,Watts,333357,96
Jaime,Marshall,333420,97
Marty,Cross,333395,98
Rudolph,Briggs,333402,98
Joel,Hernandez,333388,99
Carrie,Boone,333340,99
Joan,Rhodes,333403,100
Toni,Gibson,333371,100
Mitchell,Mathis,333362,100
Jo,Parks,333427,100
